0	4427
1	2210
2	1435
3	956
4	823
5	644
6	548
7	459
8	399
9	281
10	327
11	262
12	279
13	241
14	219
15	212
16	186
17	199
18	173
19	174
20	156
21	141
22	136
23	128
24	140
25	115
26	109
27	110
28	82
29	103
30	78
31	78
32	68
33	61
34	53
35	72
36	64
37	81
38	45
39	55
40	43
41	51
42	53
43	58
44	41
45	42
46	37
47	39
48	36
49	36
50	40
51	38
52	30
53	40
54	20
55	40
56	25
57	31
58	32
59	30
60	29
61	29
62	33
63	26
64	36
65	23
66	25
67	31
68	23
69	24
70	27
71	28
72	9
73	14
74	20
75	17
76	21
77	15
78	20
79	13
80	10
81	14
82	13
83	17
84	14
85	15
86	14
87	19
88	21
89	8
90	12
91	4
92	5
93	18
94	6
95	17
96	9
97	14
98	9
99	14
100	10
101	10
102	9
103	7
104	11
105	9
106	6
107	8
108	5
109	6
110	10
111	8
112	5
113	2
114	5
115	10
116	9
117	13
118	4
119	10
120	6
121	4
122	11
123	7
124	9
125	2
126	11
127	11
128	9
129	7
130	4
131	4
132	10
133	9
134	5
135	2
136	6
137	3
138	8
139	5
140	1
141	3
142	1
143	3
144	1
145	2
146	3
147	1
148	4
149	4
150	3
151	4
152	3
153	2
154	3
155	1
156	3
157	1
158	1
159	2
160	1
161	1
162	1
163	0
164	0
165	1
166	0
167	0
168	0
169	1
170	1
171	1
172	2
173	2
174	2
175	1
176	2
177	1
178	0
179	2
180	1
181	2
182	0
183	1
184	2
185	2
186	1
187	2
188	0
189	5
190	1
191	1
192	2
193	0
194	2
195	0
196	0
197	1
198	1
199	1
200	0
201	3
202	1
203	3
204	0
205	3
206	0
207	2
208	0
209	0
210	1
211	0
212	2
213	1
214	2
215	2
216	2
217	0
218	1
219	2
220	0
221	3
222	1
223	2
224	2
225	2
226	1
227	1
228	1
229	0
230	0
231	1
232	2
233	1
234	1
235	0
236	0
237	1
238	0
239	0
240	0
241	1
242	0
243	0
244	2
245	1
246	0
247	0
248	0
249	0
250	1
251	1
252	0
253	0
254	0
255	1
256	1
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	1
267	0
268	0
269	0
270	1
271	0
272	0
273	0
274	0
275	0
276	0
277	1
278	0
279	0
280	0
281	1
282	0
283	1
284	2
285	1
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	1
294	0
295	0
296	1
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	1
306	0
307	0
308	0
309	1
310	0
311	1
312	0
313	1
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	1
